number,name,fixtype
1128,ApplVerID,INT
5799,MatchEventIndicator,BOOLEANLIST
1151,SecurityGroup,SYMBOL
1174,SecurityTradingEvent,INT
980,SecurityUpdateAction,SYMBOL
1180,ApplID,STRING
1300,MarketSegmentID,INT
6937,Asset,STRING
9779,UserDefinedInstrument,STRING
1142,MatchAlgorithm,STRING
1140,MaxTradeVol,QTY
969,MinPriceIncrement,QTY
1146,MinPriceIncrementAmount,AMT
9787,DisplayFactor,FLOAT
1141,NoMdFeedTypes,INT
1022,MDFeedType,STRING
1145,EventTime,UTCTIMESTAMP
996,UnitOfMeasure,STRING
1147,UnitOfMeasureQty,FLOAT
1149,HighLimitPrice,PRICE
1148,LowLimitPrice,PRICE
1143,MaxPriceVariation,PRICE
1150,TradingReferencePrice,PRICE
5796,TradingReferenceDate,EPOCHDATE
1023,MDPriceLevel,INT
55,Symbol,SYMBOL
48,SecurityID,INT
269,MDEntryType,SYMBOL
167,SecurityType,SYMBOL
35,MsgType,SYMBOL
731,SettlPriceType,BOOLEANLIST
286,OpenCloseSettlFlag,SYMBOL
326,SecurityTradingStatus,SYMBOL
5797,AggressorSide,SYMBOL
1174,SecurityTradingEvent,SYMBOL
107,SecurityDesc,SYMBOL
